"keys","en","th"
"log_in","Log in","เข้าสู่ระบบ"
"sign_up","Sign up","เข้าสู่ระบบ"
"start_selling_with_naaraan","Start Selling with NAARAAN\nby sign up to open your Online Store","เริ่มขายกับ NAARAAN\nโดยลงทะเบียนเพื่อเปิดร้านค้าออนไลน์ของคุณ"
"email","Email","อีเมล"
"full_name","Full name","ชื่อเต็ม"
"phone_number","Phone number","หมายเลขโทรศัพท์"
"or","or","หรือ"
"password","Password","รหัสผ่าน"
"confirm_password","Confirm password","ยืนยันรหัสผ่าน"
"password_doesnt_match","Password doesn't match.","รหัสผ่านไม่ตรงกัน"
"free_trial","Free trial","ทดลองฟรี"
"i_gree_to_the","I agree to the","ฉันเห็นด้วยกับ"
"and","and","เเละ"
"terms","terms","ข้อกำหนด"
"conditions","conditions","เงื่อนไข"
"business_name","Business name","ชื่อธุรกิจ"
"url_address","URL address","ที่อยู่ URL"
"confirm","Confirm","ยืนยัน"
"forgot_password","Forgot password?","ลืมรหัสผ่าน?"
"dont_have_a_naaraan_accont","Don't have a Naraan account?","ไม่มีบัญชี Naraan?"
"please_enter_your_email_to_request_a_password_reset","Please enter your email to request a password reset.","กรุณากรอกอีเมลของคุณเพื่อขอรีเซ็ตรหัสผ่าน"
"send","Send","ส่ง"
"reset_password","Reset password","รีเซ็ตรหัสผ่าน"
"please_choose_your_new_password","Please choose your new password","โปรดเลือกรหัสผ่านใหม่ของคุณ"
"url_address_caption","URL Address does not allow to use full stop, comma and spacing.","URL ไม่อนุญาตให้ใช้จุด เครื่องหมายจุลภาค และการเว้นวรรค"
"logout","Logout","ออกจากระบบ"
"profile","Profile","ข้อมูลส่วนตัว"
"help_center","Help center","ศูนย์ช่วยเหลือ"
"select","Select","เลือก"
"business","Business","ธุรกิจ"
"create","Create","สร้าง"
"create_new_business","Create new business","สร้างธุรกิจใหม่"

